MIN;AVG;MAX
53;60;71
51;60;70
51;60;75
51;60;70
52;60;70
53;60;67
51;60;83
52;60;68
51;60;72
53;60;70
49;60;73
51;60;71
43;61;86
45;60;89
49;60;79
45;61;90
52;60;68
52;60;65
52;60;71
51;60;73
52;60;64
53;60;70
52;60;71
52;60;72
50;60;84
55;60;69
52;60;70
52;60;80
53;60;73
49;60;79
54;60;69
50;60;86
53;60;71
49;60;89
22;63;256
29;64;246
